prodcode	productname	drugsubstance	bnfcode	bnfchapter
41365	Axorid 200mg/20mg modified-release capsules (Meda Pharmaceuticals Ltd)	Ketoprofen/Omeprazole	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
41366	Axorid 100mg/20mg modified-release capsules (Meda Pharmaceuticals Ltd)	Ketoprofen/Omeprazole	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
41367	Ketoprofen 200mg / Omeprazole 20mg modified-release capsules	Ketoprofen/Omeprazole	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
41386	Betamethasone 0.1% ointment in emollient cream 50:50	Betamethasone Valerate	13020102/13040400	Emollient Skin Preparations/Potent Topical Corticosteroids
41396	Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd)	Fenofibrate micronised	02120300	Fibrates
41454	Nexium 10mg gastro-resistant granules sachets (AstraZeneca UK Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
41501	Esomeprazole 10mg gastro-resistant granules sachets	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
41607	Diazepam 10mg tablets (Teva UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
41632	Diazepam 10mg tablets (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
41689	Diazepam 10mg Suppository (Sinclair IS Pharma Plc)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
41992	Omeprazole 10mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42085	Betamethasone valerate 0.1% ointment (A A H Pharmaceuticals Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
42091	Omeprazole 20mg gastro-resistant tablets (Dexcel-Pharma Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42114	Omeran 40mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42382	Lansoprazole 30mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
42503	Diazepam 5mg/5ml oral solution (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
42505	Betamethasone valerate with clotrimazole cream	Clotrimazole/Betamethasone Valerate	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
42532	Lansoprazole 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
42533	Omeprazole 20mg gastro-resistant capsules (Focus Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42730	Lansoprazole 30mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
42736	Omeprazole 20mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42801	Bezafibrate xl 400mg Modified-release tablet (Generics (UK) Ltd)	Bezafibrate	02120300	Fibrates
42898	Omeprazole 10mg gastro-resistant tablets (Actavis UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42900	Omeprazole 20mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
42937	Betnesol 0.1% eye/ear/nose drops (RPH Pharmaceuticals AB)	Betamethasone sodium phosphate	11040100/12010151/12020101	Corticosteroids (in Eye Preparations)/Anti-inflammatory Preparations/Corticosteroids Used In Nasal Allergy
43057	Lansoprazole 30mg gastro-resistant capsules (Mylan)	Lansoprazole	01030500	Proton Pump Inhibitors
43066	Betnesol-N ear/eye/nose drops (RPH Pharmaceuticals AB)	Betamethasone sodium phosphate/Neomycin sulfate	11030100/11040100/12010151/12010152/12020300	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)/Anti-inflammatory Preparations/Anti-infective Preparations/Nasal Preparations For Infection
43946	Dovobet gel (LEO Pharma)	Betamethasone dipropionate/Calcipotriol monohydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
43948	Esomeprazole 40mg gastro-resistant capsules	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
43957	Omeprazole 20mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
43995	Esomeprazole 20mg gastro-resistant capsules	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
44252	Omeprazole 20mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
44753	Lansoprazole 30mg gastro-resistant capsules (Consilient Health Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
44800	Naproxen 500mg / Esomeprazole 20mg modified-release tablets	Esomeprazole magnesium trihydrate/Naproxen	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
44986	Vimovo 500mg/20mg modified-release tablets (AstraZeneca UK Ltd)	Esomeprazole magnesium trihydrate/Naproxen	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
45023	Quinoric 200mg tablets (Bristol Laboratories Ltd)	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
45135	Diazepam 2mg Tablet (M & A Pharmachem Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
45173	Omeprazole 20mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
45218	Diazepam 5mg tablets (Ranbaxy (UK) Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
45244	Diazepam 5mg tablets (Sandoz Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
45313	Diazepam 2mg tablets (Almus Pharmaceuticals Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
46744	Emozul 20mg gastro-resistant capsules (Consilient Health Ltd)	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
46745	Emozul 40mg gastro-resistant capsules (Consilient Health Ltd)	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
46913	Diazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
46962	Colchicine 500microgram tablets (A A H Pharmaceuticals Ltd)	Colchicine	10010450	Acute Attacks Of Gout
46966	Diazepam 5mg tablets (IVAX Pharmaceuticals UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
47511	Omeprazole 5mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
47909	Lansoprazole 30mg gastro-resistant capsules (Arrow Generics Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
47935	Fenofibrate 200mg Capsule (Teva UK Ltd)	Fenofibrate micronised	02120300	Fibrates
48012	Hydroxychloroquine sulphate 200mg Tablet (Hillcross Pharmaceuticals Ltd)	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
48063	Lansoprazole 30mg gastro-resistant capsules (Zentiva)	Lansoprazole	01030500	Proton Pump Inhibitors
48217	Leflunomide 10mg tablets (medac UK)	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
48406	Triamcinolone acetonide 40mg/1ml suspension for injection vials	Triamcinolone acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
48615	Betnovate 0.1% scalp application (Mawdsley-Brooks & Company Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
49163	Omeprazole 20mg gastro-resistant capsules (Zentiva)	Omeprazole	01030500	Proton Pump Inhibitors
49208	Betnovate 0.1% ointment (Mawdsley-Brooks & Company Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
49209	Lansoprazole 7.5mg/5ml oral solution	Lansoprazole	01030500	Proton Pump Inhibitors
49433	Omeprazole 40mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
49478	Betnovate 0.1% cream (Mawdsley-Brooks & Company Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
49522	Betnovate 0.1% scalp application (Waymade Healthcare Plc)	Betamethasone valerate	13040400	Potent Topical Corticosteroids
49584	Omeprazole 8mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
49609	Bezafibrate 400mg Modified-release tablet (Sandoz Ltd)	Bezafibrate	02120300	Fibrates
49852	Diprosalic 0.05%/3% ointment (Sigma Pharmaceuticals Plc)	Betamethasone dipropionate/Salicylic acid	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
49936	Betnovate 0.1% scalp application (DE Pharmaceuticals)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
50026	Triamcinolone acetonide 40mg/1ml suspension for injection pre-filled syringes	Triamcinolone acetonide	00000000	Unknown
50071	Fenofibrate 160mg Tablet (Teva UK Ltd)	Fenofibrate micronised	02120300	Fibrates
50216	Kenalog Intramuscular 40mg/1ml suspension for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	00000000	Unknown
50225	Betnesol 500microgram soluble tablets (Waymade Healthcare Plc)	Betamethasone sodium phosphate	06030200	Glucocorticoid Therapy
50365	Omeprazole 8.5mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
50372	Omeprazole 15mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
50488	Betnovate 0.1% scalp application (Sigma Pharmaceuticals Plc)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
50492	Lansoprazole 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)	Lansoprazole	01030500	Proton Pump Inhibitors
50853	Lederspan 20mg/1ml suspension for injection vials (Wyeth Pharmaceuticals)	Triamcinolone hexacetonide	00000000	Unknown
50854	Lederspan 100mg/5ml suspension for injection vials (Wyeth Pharmaceuticals)	Triamcinolone hexacetonide	00000000	Unknown
51260	Omeprazole 20mg gastro-resistant capsules (Arrow Generics Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
51290	Zoton FasTab 15mg (Mawdsley-Brooks & Company Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
51335	Diazepam 10mg/5ml oral solution	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
51357	Omeprazole 15mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
51548	Nexium 20mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
51754	Diazepam 10mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
51816	Dovobet ointment (Sigma Pharmaceuticals Plc)	Betamethasone dipropionate/Calcipotriol hydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
51985	Diazepam 2mg/5ml oral suspension	Diazepam	04010201/04080200/04080300/04105000/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
52027	Diprosalic 0.05%/3% ointment (DE Pharmaceuticals)	Betamethasone dipropionate/Salicylic acid	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
52379	Omeprazole 25mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
52476	Diprosalic 0.05%/2% scalp application (Waymade Healthcare Plc)	Salicylic acid/Betamethasone dipropionate	13040400	Potent Topical Corticosteroids
52603	Dovobet ointment (DE Pharmaceuticals)	Betamethasone dipropionate/Calcipotriol hydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
52612	Losec 20mg gastro-resistant capsules (Lexon (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
52814	Bezafibrate 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)	Bezafibrate	02120300	Fibrates
52866	Omeprazole 4mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
52895	Coal tar solution 5% / Betamethasone valerate 0.025% ointment 5% in White soft paraffin	Betamethasone valerate/Coal tar solution	13040000/13500000	Topical Corticosteroids/Miscellaneous Skin Preparations
52971	Losec MUPS 10mg gastro-resistant tablets (Lexon (UK) Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
53165	Coal tar solution with Betamethasone 0.1% ointment in white soft paraffin (BCM) 3% with 50%	Betamethasone Valerate/Coal Tar Solution	13040400/13050200	Potent Topical Corticosteroids/Preparations For Psoriasis
53250	Modalim 100mg tablets (Lexon (UK) Ltd)	Ciprofibrate	02120300	Fibrates
53337	Omeprazole 10mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
53408	Betnovate 0.1% scalp application (Lexon (UK) Ltd)	Betamethasone valerate	13040400	Potent Topical Corticosteroids
53461	Diazepam 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
53518	Omeprazole 2mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
53566	Diazepam 2.5mg/5ml oral solution	Diazepam	04010201/04080200/04080300/04105000/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
53616	Lansoprazole 5mg/5ml oral solution	Lansoprazole	01030500	Proton Pump Inhibitors
53843	Esomeprazole 40mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
53871	Lansoprazole 30mg gastro-resistant capsules (Actavis UK Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
54121	Lansoprazole 15mg/5ml oral solution	Lansoprazole	01030500	Proton Pump Inhibitors
54188	Lansoprazole 30mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
54193	Hydroxychloroquine 200mg tablets (A A H Pharmaceuticals Ltd)	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
54461	Coal tar solution in Betnovate RD (Royal Free Hosp) 5% ointment	Betamethasone Valerate/Coal Tar Solution	13040400/13050200	Potent Topical Corticosteroids/Preparations For Psoriasis
54683	Mezzopram 10mg dispersible gastro-resistant tablets (Sandoz Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
54695	Diazepam 10mg Tablet (M & A Pharmachem Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
54741	Diprosalic 0.05%/2% scalp application (Lexon (UK) Ltd)	Salicylic acid/Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
54939	Lansoprazole 15mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
55168	Omeprazole 10mg dispersible gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
55386	Coal tar solution 5% in Betamethasone valerate 0.025% ointment	Betamethasone valerate/Coal tar solution	13040000/13500000	Topical Corticosteroids/Miscellaneous Skin Preparations
55439	Lansoprazole 15mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
55468	Omeprazole 20mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
55487	Betamethasone valerate 0.1% ointment (Teva UK Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
55700	Omeprazole 3mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
55744	Omeprazole 20mg gastro-resistant capsules (Zanza Laboratories Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
55745	Losec 10mg gastro-resistant capsules (Lexon (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
56235	Omeprazole 12.5mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
56236	Diazepam 2mg tablets (Wockhardt UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
56432	Omeprazole 6.8mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
56433	Omeprazole 35mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
56479	Losec 20mg gastro-resistant capsules (Waymade Healthcare Plc)	Omeprazole	01030500	Proton Pump Inhibitors
56871	Betamethasone valerate 0.1% / Clioquinol 3% ointment (A A H Pharmaceuticals Ltd)	Clioquinol/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
56895	Omeprazole 50mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
57158	Lansoprazole 30mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
57177	Omeprazole 20mg gastro-resistant capsules (Bristol Laboratories Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
57219	Fenofibrate micronised 200mg capsules (Sandoz Ltd)	Fenofibrate micronised	02120300	Fibrates
57311	Esomeprazole 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
57474	Betamethasone valerate 0.1% / Clioquinol 3% cream (A A H Pharmaceuticals Ltd)	Clioquinol/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
57489	Ciprofibrate 100mg tablets (Zentiva)	Ciprofibrate	02120300	Fibrates
57504	Zoton FasTab 30mg (Waymade Healthcare Plc)	Lansoprazole	01030500	Proton Pump Inhibitors
57519	Betnovate 0.1% ointment (Dowelhurst Ltd)	Betamethasone valerate	13040400	Potent Topical Corticosteroids
57528	Losec 20mg gastro-resistant capsules (Dowelhurst Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
57541	Omeprazole 10mg gastro-resistant tablets (Sterwin Medicines)	Omeprazole	01030500	Proton Pump Inhibitors
57566	Omeprazole 20mg dispersible gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
57572	Zoton 15mg gastro-resistant capsules (Dowelhurst Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
57648	Omeprazole 10mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
57738	Omeprazole 4mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
57749	Diazepam 5mg tablets (Waymade Healthcare Plc)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
57787	Audavate RD 0.025% ointment (Auden McKenzie (Pharma Division) Ltd)	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
57838	Diazepam 5mg tablets (Sovereign Medical Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
57856	Triamcinolone hexacetonide 20mg/1ml suspension for injection vials	Triamcinolone hexacetonide	00000000	Unknown
57902	Betamethasone valerate 0.1% / Clioquinol 3% ointment (Essential Generics Ltd)	Clioquinol/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
58030	Rabeprazole 10mg gastro-resistant tablets (Actavis UK Ltd)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
58066	Omeprazole 8mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
58216	Omeprazole 20mg gastro-resistant capsules (Kent Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
58236	Mezzopram 20mg dispersible gastro-resistant tablets (Sandoz Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
58332	Omeprazole 20mg gastro-resistant capsules (Somex Pharma)	Omeprazole	01030500	Proton Pump Inhibitors
58344	Omeprazole 50mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
58388	Audavate 0.1% ointment (Auden McKenzie (Pharma Division) Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
58475	Rabeprazole 20mg gastro-resistant tablets (Zentiva)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
58635	Bezalip Mono 400mg modified-release tablets (DE Pharmaceuticals)	Bezafibrate	02120300	Fibrates
58679	Lansoprazole 15mg gastro-resistant capsules (Actavis UK Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
58946	Omeprazole 10mg gastro-resistant capsules (Waymade Healthcare Plc)	Omeprazole	01030500	Proton Pump Inhibitors
58959	Diazepam 10mg/5ml oral solution (AM Distributions (Yorkshire) Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
59002	Bezafibrate 400mg modified-release tablets (DE Pharmaceuticals)	Bezafibrate	02120300	Fibrates
59106	Lansoprazole 30mg/5ml oral solution	Lansoprazole	01030500	Proton Pump Inhibitors
59122	Diazepam 5mg/5ml oral solution (AM Distributions (Yorkshire) Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
59135	Omeprazole 2.5mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
59296	Rabeprazole 10mg gastro-resistant tablets (Zentiva)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
59404	Lansoprazole 30mg gastro-resistant capsules (Sovereign Medical Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
59407	Diazepam 5mg tablets (DE Pharmaceuticals)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
59547	Omeprazole 40mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
59586	Lansoprazole 30mg gastro-resistant capsules (Kent Pharmaceuticals Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
59725	Omeprazole 25mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
60189	Audavate RD 0.025% cream (Auden McKenzie (Pharma Division) Ltd)	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
60230	Omeprazole 10mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
60385	Bezalip Mono 400mg modified-release tablets (Lexon (UK) Ltd)	Bezafibrate	02120300	Fibrates
60403	Omeprazole 20mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
60409	Omeprazole 20mg dispersible gastro-resistant tablets (Waymade Healthcare Plc)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
60537	Lansoprazole 30mg gastro-resistant capsules (DE Pharmaceuticals)	Lansoprazole	01030500	Proton Pump Inhibitors
60588	Rabeprazole 20mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
60590	Rabeprazole 20mg gastro-resistant tablets (Actavis UK Ltd)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
60615	Lansoprazole 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
60788	Fenofibrate micronised 267mg capsules (Zentiva)	Fenofibrate micronised	02120300	Fibrates
60836	Betamethasone valerate 0.025% ointment (A A H Pharmaceuticals Ltd)	Betamethasone valerate	13040300	Moderate Topical Corticosteroids
60900	Lansoprazole 15mg/5ml oral suspension	Lansoprazole	01030500	Proton Pump Inhibitors
60936	Diazepam 5mg tablets (Arrow Generics Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
61029	Omeprazole 20mg gastro-resistant capsules (Genesis Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
61504	Esomeprazole 20mg gastro-resistant tablets (Teva UK Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
61669	Esomeprazole 40mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Esomeprazole magnesium dihydrate	01030500	Proton Pump Inhibitors
61772	Betamethasone valerate 0.025% cream (A A H Pharmaceuticals Ltd)	Betamethasone valerate	13040300	Moderate Topical Corticosteroids
62007	Leflunomide 15mg tablets	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
62031	Lansoprazole 15mg gastro-resistant capsules (DE Pharmaceuticals)	Lansoprazole	01030500	Proton Pump Inhibitors
62067	Salicylic acid 5% in Betamethasone valerate 0.1% ointment	Salicylic acid/Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
62138	Dovobet gel (Waymade Healthcare Plc)	Betamethasone dipropionate/Calcipotriol monohydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
62166	Omeprazole 2mg/5ml oral solution	Omeprazole	01030500	Proton Pump Inhibitors
